id,shipperId,shipperName,status,pickup_location,pickup_city,pickup_state,pickup_date,pickup_time,drop_location,drop_city,drop_state,drop_date,drop_time,cargo_type,weight_lbs,description,rate_usd,distance_miles,matchedDriverId,matchedDriverName
LR-LVSOCAL-2101,SHP-LV-001,Walmart #2593,posted,3615 S Rainbow Blvd,Las Vegas,NV,2025-10-14,06:00,1126 S Miliken Ave,Ontario,CA,2025-10-14,14:00,Dry Goods,43000,General merchandise to Ontario DC,2150,240,,
LR-LVSOCAL-2102,SHP-LV-002,Costco Business Center,posted,222 S Martin L King Blvd,Las Vegas,NV,2025-10-14,07:30,240 N Magnolia Ave,Anaheim,CA,2025-10-15,08:00,Refrigerated,36000,Chilled foods to Anaheim cross-dock,2350,265,,
LR-LVSOCAL-2103,SHP-LV-003,Sam's Club #6252,posted,5101 S Pecos Rd,Las Vegas,NV,2025-10-14,08:00,725 W Redlands Blvd,Redlands,CA,2025-10-15,07:30,Dry Goods,40500,Non-perishable pallets to IE DC,2200,245,,
LR-LVSOCAL-2104,SHP-LV-004,Harry Reid Int'l Airport,posted,5757 Wayne Newton Blvd,Las Vegas,NV,2025-10-14,05:15,201 World Way,Los Angeles,CA,2025-10-14,16:30,Air Cargo,14000,ULD transfer to LAX cargo facility,1850,275,,
LR-LVSOCAL-2105,SHP-LV-005,DICK'S Sporting Goods,posted,120 Pavilion Center Dr,Las Vegas,NV,2025-10-14,09:30,4545 La Jolla Village Dr,San Diego,CA,2025-10-15,10:00,Sporting Goods,32000,Seasonal retail inventory to SD,2450,330,,
LR-LVSOCAL-2106,SHP-LV-001,Walmart #2593,posted,3615 S Rainbow Blvd,Las Vegas,NV,2025-10-15,06:10,2001 W Walnut St,Compton,CA,2025-10-15,15:00,Dry Goods,41000,Backhaul to Walmart SoCal DC,2100,270,,
LR-LVSOCAL-2107,SHP-LV-002,Costco Business Center,posted,222 S Martin L King Blvd,Las Vegas,NV,2025-10-15,07:00,2200 E Willow St,Signal Hill,CA,2025-10-16,08:00,Refrigerated,35000,Perishables to Long Beach area 3PL,2380,285,,
LR-LVSOCAL-2108,SHP-LV-003,Sam's Club #6252,posted,5101 S Pecos Rd,Las Vegas,NV,2025-10-15,08:20,2450 Wardlow Rd,Corona,CA,2025-10-16,07:30,Dry Goods,39500,Club inventory to Corona hub,2250,255,,
LR-LVSOCAL-2109,SHP-LV-004,Harry Reid Int'l Airport,posted,5757 Wayne Newton Blvd,Las Vegas,NV,2025-10-15,05:20,3000 E Aviation Way,Ontario,CA,2025-10-15,13:30,Air Cargo,16000,Priority cargo to ONT air cargo,1950,240,,
LR-LVSOCAL-2110,SHP-LV-005,DICK'S Sporting Goods,posted,120 Pavilion Center Dr,Las Vegas,NV,2025-10-15,09:10,5740 E 7th St,Long Beach,CA,2025-10-16,09:45,Sporting Goods,31000,Retail pallets to Long Beach store,2300,285,,
